"filename", "language", "JSON with Comments", "Markdown", "C#", "aspnetcorerazor", "JSON", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\Startup.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 4, 12, 78
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\_Imports.razor", "aspnetcorerazor", 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\appsettings.Development.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\appsettings.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\workspace.code-workspace", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\wwwroot\css\bootstrap\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\wwwroot\css\open-iconic\README.md", "Markdown", 0, 70, 0, 0, 0, 0, 0, 0, 45, 115
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\wwwroot\css\open-iconic\font\css\open-iconic-bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\wwwroot\css\open-iconic\font\fonts\open-iconic.svg", "XML", 0, 0, 0, 0, 0, 540, 0, 3, 1, 544
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\wwwroot\css\site.css", "CSS", 0, 0, 0, 0, 0, 0, 44, 0, 10, 54
"c:\Users\Jmorrow\Desktop\code\work-code\blazor\MarathonTutorialWebsite\wwwroot\data\marathon_tests.json", "JSON", 0, 0, 0, 0, 320, 0, 0, 0, 0, 320
"Total", "-", 8, 72, 299, 921, 372, 902, 201, 162, 316, 3253
